,alloy_name,phases,VHN,R_delta,S_config,VEC,R_cov_delta,density_avg,Tm_avg,E_avg,E_delta,G_avg,G_delta,K_avg,K_delta,Compress_avg,Compress_delta,EN_Allen_avg,H_avg,Vm_delta,E_coh_avg,E_coh_delta,Senkov_param,H_chem,H_el
0,Al1.8CoCrCuFe,FCC + BCC,557,0.429640681,0.486148916,0.554597701,0.065927701,0.343797538,0.109388916,0.389240828,0.599158028,0.415746319,0.651824022,0.443729805,0.571510994,0.153911857,0.438852065,0.780542303,0.245615981,0.448845234,0.167903542,0.260147496,0.004124069,0.62728513,0.279584775
1,AlCoCrCuFeNi,FCC + BCC,439,0.352936965,0.706695053,0.699074074,0.123787436,0.427388251,0.170798608,0.508277217,0.489136609,0.516351088,0.507945511,0.535908702,0.41619019,0.106396682,0.422213027,0.852305896,0.297875193,0.392830984,0.20114643,0.245394363,0.007433685,0.67366985,0.205536332
2,Al22.5Cu20Fe15Ni20Ti22.5,FCC,516,0.485714028,0.51076736,0.579861111,0.63269935,0.332250035,0.119872662,0.387073864,0.638641996,0.355890951,0.681678847,0.382478101,0.515596102,0.165314166,0.34566422,0.70709282,0.540378041,0.533286753,0.215112038,0.350374123,0.000571733,0.258663029,0.479584775
3,Co1.5CrFeNi1.5Ti,FCC + Im,654,0.422861681,0.5,0.6875,0.621023182,0.453971327,0.297606264,0.609813412,0.341835314,0.607091133,0.343857282,0.613832933,0.244388648,0.065564057,0.224068265,0.788091068,0.707487097,0.494274623,0.284002084,0.09881795,0.001841524,0.408731241,0.384775087
4,NbTaTiVW,BCC+HCP,447,0.235923024,0.520809939,0.305555556,0.113213441,0.754621306,0.790830678,0.623842593,0.965055291,0.627474119,0.964257996,0.727016497,0.619224709,0.058930366,0.335243398,0.246935201,0.45405188,0.205361112,0.81208963,0.584017331,0.019282277,0.726057299,0.155017301
5,CoFeMoNi1.6V,FCC + Im,520,0.236969903,0.499442239,0.702380952,0.725283117,0.521109509,0.393581313,0.800459957,0.408092196,0.74621842,0.466767243,0.742857932,0.271212887,0.034088525,0.117202964,0.766825119,0.291718135,0.35316878,0.402888409,0.466740535,0.004565219,0.57680764,0.381314879
6,AlCrCuFeNi,FCC + BCC,418.5,0.376481957,0.520809939,0.666666667,0.110891719,0.400590052,0.1557624,0.465172559,0.534788489,0.479965671,0.555297522,0.498438752,0.451697382,0.121377232,0.420805434,0.828371278,0.234305248,0.405794089,0.185513288,0.252300763,0.007024103,0.684856753,0.220069204
7,Al1.125CuFe0.75NiTi1.125,FCC,516,0.485714028,0.51076736,0.579861111,0.63269935,0.332250035,0.119872662,0.387073864,0.638641996,0.355890951,0.681678847,0.382478101,0.515596102,0.165314166,0.34566422,0.70709282,0.540378041,0.533286753,0.215112038,0.350374123,0.000571733,0.258663029,0.479584775
8,AlCoCrFeMo0.5Ni0.5,BCC + Im,708,0.398089694,0.66214895,0.555555556,0.403749782,0.410731572,0.263784851,0.603009259,0.611056625,0.621439682,0.602475318,0.606372102,0.530801348,0.098655228,0.503619237,0.753064799,0.313774382,0.439768128,0.272642001,0.523135067,0.003275042,0.517598909,0.367474048
9,Al1.5CoCrFeNi,BCC,467.7,0.430771025,0.505240243,0.558080808,0.139030516,0.361901409,0.163276272,0.497388659,0.568539614,0.51383166,0.575297556,0.513651813,0.527091661,0.128909077,0.483262179,0.801623945,0.30349341,0.468963866,0.209199867,0.242688891,0.001563359,0.428922237,0.31349481
10,CoFeNiSi0.5,FCC + Im,287,0.175906796,0.25812006,0.761904762,0.067387519,0.450349356,0.240157094,0.689228595,0.242444584,0.720883365,0.001170078,0.605148368,0.244482478,0.068259857,0.237823393,0.991993995,0.573324524,0.201471096,0.282885431,0.026478902,0.002261936,0.529058663,0.117647059
11,AlCoCuFeNiSi,FCC + BCC,682,0.453485431,0.706695053,0.652777778,0.087327804,0.353324421,0.126146111,0.479342031,0.540698887,0.536242379,0.518523951,0.451813166,0.496288569,0.137697401,0.377918723,0.931115003,0.470809035,0.405037705,0.219558798,0.279154076,0.002291577,0.482401091,0.269204152
12,HfMoTaTiZr,BCC,542,0.420629721,0.520809939,0.25,0.258935857,0.683630664,0.672143798,0.51651936,0.856440187,0.473797136,0.948523757,0.516455276,0.785132904,0.134052091,0.379075956,0.085814361,0.7231852,0.381827861,0.717457009,0.398420484,0.03558741,0.773806276,0.431141869
13,Al0.5CoCrCuFeNiV1.2,BCC,579,0.264993402,0.838645493,0.678689884,0.486883338,0.436543599,0.25289672,0.510771584,0.416661252,0.511160605,0.448784758,0.575444093,0.273580766,0.08032813,0.321293147,0.797631806,0.32416842,0.299566725,0.25921461,0.336720008,0.008108366,0.660300136,0.149480969
14,Al0.43CoCrFeMnNi,FCC + BCC,183,0.309412163,0.673063705,0.667229384,0.187343021,0.44475431,0.226672841,0.625427657,0.321202261,0.64744172,0.296387545,0.506618033,0.574433171,0.146859602,0.577874959,0.849774071,0.285267146,0.279312023,0.19294119,0.349864333,0.004730341,0.59781719,0.119723183
15,Al0.5CoCrCuFeNiTi1.6,FCC + BCC + Im,657,0.482797027,0.820101321,0.626369327,0.639069491,0.397764451,0.23582118,0.470311981,0.48732805,0.470405008,0.534647837,0.503846979,0.404373437,0.108665363,0.323729654,0.717668533,0.706151245,0.536975971,0.249543116,0.264354119,0.002337772,0.418826739,0.461591696
16,AlCoCrFeNiTiVZr,,780,0.645283915,1,0.461805556,0.906345917,0.34967501,0.281936226,0.404987374,0.613169205,0.406446119,0.671803424,0.465652546,0.515187877,0.135733055,0.393955059,0.597635727,0.561130103,0.756649468,0.32855654,0.433837069,0.001060935,0.119781719,0.78615917
17,CoCuFeMnNiSn0.05,FCC + Im,205,0.274944116,0.561195201,0.854235424,0.152630326,0.515947792,0.168549563,0.652574632,0.252623354,0.631043,0.283443488,0.483899024,0.521970337,0.144204833,0.543241232,0.94388861,0.202588632,0.334016328,0.176432651,0.381475382,0.023399883,0.873942701,0.12733564
18,NbTiV2Zr,BCC,304,0.504244311,0.238131918,0.25,0.277841004,0.327202323,0.500960799,0.206123737,0.284584679,0.237783619,0.43723163,0.419740805,0.3954361,0.136911662,0.282599232,0.260945709,0.59288156,0.526703659,0.585304846,0.411289526,0.045694725,0.795634379,0.433217993
19,HfMoNbTaTiZr,BCC,505,0.397047807,0.706695053,0.259259259,0.2178362,0.658799305,0.690059141,0.463383838,0.863312206,0.471428061,0.866106283,0.53139536,0.697927511,0.121145374,0.373084698,0.107997665,0.586902607,0.354380654,0.75490707,0.382558043,0.093229255,0.80218281,0.360553633
20,CoFeMo0.2NiV,FCC + Im,267,0.187940071,0.421186599,0.708994709,0.651612621,0.483627591,0.329229185,0.687725469,0.33764037,0.64317004,0.389590681,0.668282522,0.150872218,0.045552575,0.056296267,0.811858894,0.346920992,0.26412826,0.346112807,0.318032433,0.003462753,0.552251023,0.191695502
21,AlCoCuFeNiTi,FCC + BCC,626,0.475614327,0.706695053,0.652777778,0.581328604,0.38682217,0.149332803,0.470573793,0.562068231,0.439691394,0.614290318,0.457616034,0.479033984,0.13376871,0.374646111,0.773496789,0.524431932,0.539897394,0.227201668,0.306076832,0.001357526,0.354433834,0.455363322
22,Al0.5CoCrCuFeNiV0.6,FCC + BCC + Im,328,0.2700365,0.832700458,0.715391621,0.380287799,0.450200374,0.231394123,0.529663093,0.413984903,0.533248976,0.436263607,0.576941005,0.290524501,0.081482594,0.33737564,0.833883609,0.328165537,0.302511131,0.23837552,0.300852682,0.011257051,0.704229195,0.141176471
23,CoFeMo0.6NiV,FCC + Im,557,0.223839645,0.503730331,0.685990338,0.697362214,0.501131401,0.375247028,0.748504062,0.406285911,0.701251665,0.462765035,0.712037167,0.246380119,0.039088096,0.100479131,0.769435772,0.316928807,0.321855892,0.384348732,0.427308077,0.004299452,0.568894952,0.309342561
24,Al2CoCrFeNiTi,BCC,643,0.49829963,0.661945804,0.464285714,0.519378965,0.306787575,0.162184596,0.41896645,0.637755489,0.429314718,0.672400567,0.443378611,0.596592091,0.155537522,0.432229027,0.694270703,0.516216139,0.525027045,0.22303283,0.29508195,0.000619656,0.190177353,0.471280277
